soru,cevap
Yakalanan kişi en geç ne kadar süre içinde hâkim önüne çıkarılmalıdır?,"Yakalanan kişi, gerekli süre hariç en geç kırk sekiz saat ve toplu olarak işlenen suçlarda en çok on beş gün içinde hâkim önüne çıkarılmalıdır."
Yakalanan veya tutuklanan kişinin durumu kime bildirilir?,Yakalanan veya tutuklanan kişinin durumu yakınlarına bildirilir.
Tutuklanan kişilerin hangi hakları vardır?,"Tutuklanan kişilerin, makul süre içinde yargılanmayı ve soruşturma veya kovuşturma sırasında serbest bırakılmayı isteme hakları vardır."
Hürriyeti kısıtlanan kişi hangi hakkı kullanabilir?,"Hürriyeti kısıtlanan kişi, kısıtlamanın kanuna aykırılığı halinde hemen serbest bırakılmasını sağlamak amacıyla yetkili bir yargı merciine itiraz hakkına sahiptir."
Kişi hürriyetinin kısıtlanabileceği haller nasıl belirlenmiştir?,"Kişi hürriyetinin kısıtlanabileceği haller, sınırlayıcı sayım yoluyla belirlenmiştir."
Suç işleme eğilimi gösteren küçükler için hangi tedbirler öngörülmüştür?,Suç işleme eğilimi gösteren küçükler için 'Gözetim altında eğitim' tedbiri uygulanması öngörülmüştür.
Bulaşıcı hastalıkların yayılmasını önlemek amacıyla hangi tedbirler alınabilir?,"Bulaşıcı hastalık yayabilecek kimselerin serbestçe dolaşmalarının önlenmesi, örneğin evden çıkmalarına izin verilmemesi gibi tedbirler alınabilir."
Suç öncesi tehlikeli hal nedir?,"Suç öncesi tehlikeli hal, suç işlemeye müsait düzeyde bulunan kişiler hakkında zamanında uygun tedbirler alarak zararı önleme durumudur."
Suç öncesi safhada bulunan kişiler kimlerdir?,"Uyuşturucu madde tutkunları, alkolikler, akıl hastaları ve serseriler suç öncesi safhada bulunan kişilerdir."
Önleyici güvenlik tedbirleri neden alınmaktadır?,"Önleyici güvenlik tedbirleri, suç işleme ihtimali yüksek olan kişilerin suç alanına girmelerini engellemek ve toplumu korumak amacıyla alınmaktadır."
Sanığın tutuklanma sebepleri nelerdir?,Sanığın tutuklanma sebepleri arasında kaçma ve delilleri karartma tehlikeleri bulunmaktadır.
Hürriyeti kısıtlanan kişiye kısıtlama sebebi nasıl bildirilir?,"Hürriyeti kısıtlanan kişiye kısıtlama sebebi mümkünse yazılı, imkân yoksa sözlü olarak bildirilir."
Sanık olarak yakalanan kişilerin bağımsız hâkim güvencesine kavuşma süresi normal hallerde ne kadardır?,Normal hallerde sanık olarak yakalanan kişilerin bağımsız hâkim güvencesine kavuşma süresi kırksekiz saattir.
Habeas corpus güvencesi nedir?,"Habeas corpus güvencesi, hürriyeti kısıtlanan kişilerin kısıtlamanın kanuna aykırılığı iddiasında bulunabilmek ve bu iddiasını dinletebilmek amacıyla bir hâkime başvurma imkânını sağlar."
Yedinci fıkra hükmü hangi durumla ilgilidir?,"Yedinci fıkra hükmü, sanık olarak hürriyeti kısıtlanan kişilerin mahkûmiyet hükmünden önce gereksiz olarak mahrum edilmesini önlemekle ilgilidir."
Kanuna aykırı hürriyet kısıtlamalarında kişinin zararı nasıl tazmin edilir?,Kanuna aykırı hürriyet kısıtlamalarında kişinin uğradığı zarar Devletçe tazmin edilir.
Kişi hürriyeti ve güvenliği hangi maddede düzenlenmiştir?,Kişi hürriyeti ve güvenliği Anayasa'nın 19. maddesinde düzenlenmiştir.
Hangi durumlarda bir kişi hürriyetinden yoksun bırakılabilir?,"Bir kişi, mahkeme kararları veya kanunda öngörülen yükümlülükler gereği hürriyetinden yoksun bırakılabilir."
Suçluluğu hakkında kuvvetli belirti bulunan kişiler hangi durumlarda tutuklanabilir?,"Bu kişiler, kaçmalarını veya delilerin yok edilmesini önlemek için veya kanunda gösterilen diğer hallerde hâkim kararıyla tutuklanabilir."
Yakalanan veya tutuklanan kişilere haklarındaki iddialar ne zaman bildirilir?,"Yakalanan veya tutuklanan kişilere haklarındaki iddialar derhal, mümkün değilse sözlü olarak en geç hâkim huzuruna çıkarılıncaya kadar bildirilir."
Tutuklanan kişilerin hangi hakları vardır?,Tutuklanan kişilerin makul süre içinde yargılanmayı ve soruşturma veya kovuşturma sırasında serbest bırakılmayı isteme hakları vardır.
"Serbest bırakılma, yargılama süresince hangi amaçlarla bir güvenceye bağlanabilir?","Serbest bırakılma, ilgilinin yargılama süresince duruşmada hazır bulunmasını veya hükmün yerine getirilmesini sağlamak için bir güvenceye bağlanabilir."
"Hürriyeti kısıtlanan kişi, durumu hakkında karar verilmesi ve kanuna aykırılık halinde serbest bırakılması için ne yapma hakkına sahiptir?","Hürriyeti kısıtlanan kişi, yetkili bir yargı merciine başvurma hakkına sahiptir."
Toplu suçlarda yakalama veya tutuklama sebebi ne zaman bildirilmelidir?,Toplu suçlarda yakalama veya tutuklama sebebi en geç hâkim huzuruna çıkarılmadan bildirilmelidir.
"Yakalanan veya tutuklanan kişinin durumu, hangi koşullar altında yakınlarına derhal bildirilmez?","Yakalanan veya tutuklanan kişinin durumu, soruşturmanın kapsam ve konusunun açığa çıkmasının sakıncalarının gerektirdiği kesin zorunluluk dışında, yakınlarına derhal bildirilir."
Madde 19'un altıncı fıkrasında belirtilen esas nedir?,"Madde 19'un altıncı fıkrasında belirtilen esas, yakalanan veya tutuklanan kişinin durumunun yakınlarına derhal bildirilmesidir."
Kişi hürriyeti ve güvenliği hangi koşullarda kısıtlanabilir?,"Mahkemelerce verilmiş hürriyeti kısıtlayıcı cezaların ve güvenlik tedbirlerinin yerine getirilmesi, bir mahkeme kararının veya kanunda öngörülen bir yükümlülüğün gereği olarak ilgilinin yakalanması veya tutuklanması gibi koşullarda kişi hürriyeti kısıtlanabilir."
Suçluluğu hakkında kuvvetli belirti bulunan kişiler hangi durumlarda tutuklanabilir?,"Kaçmalarını, delillerin yok edilmesini veya değiştirilmesini önlemek maksadıyla veya tutuklamayı zorunlu kılan diğer hallerde, kanunda gösterilen durumlarda hâkim kararıyla tutuklanabilir."
Yakalanan veya tutuklanan kişilere haklarındaki iddialar ne zaman bildirilmelidir?,Yakalama veya tutuklama sebepleri ve haklarındaki iddialar derhal yazılı ve bunun hemen mümkün olmaması halinde sözlü olarak bildirilmelidir.
Yakalanan veya tutuklanan kişi en geç ne kadar süre içinde hâkim önüne çıkarılmalıdır?,En geç kırksekiz saat ve toplu olarak işlenen suçlarda en çok dört gün içinde hâkim önüne çıkarılmalıdır.
Tutuklanan kişilerin hangi hakları vardır?,"Tutuklanan kişilerin, makul süre içinde yargılanmayı ve soruşturma veya kovuşturma sırasında serbest bırakılmayı isteme hakları vardır."
Yakalanan veya tutuklanan kişilerin hâkim önüne çıkarılma süreleri nasıl düzenlenmiştir?,"Yakalanan veya tutuklanan kişi, tutulma yerine en yakın mahkemeye gönderilmesi için gerekli süre hariç en geç kırksekiz saat ve toplu olarak işlenen suçlarda en çok yedi gün içinde hâkim önüne çıkarılır."
Devletin zarara sebebiyet verenlere karşı nasıl bir hakkı vardır?,"Devlet, zarara sebebiyet verenlere rücu eder ve bu husus kanunla düzenlenir."
Yakalanan veya tutuklanan kişinin yakınlarına ne zaman bilgi verilir?,"Kişinin yakalandığı veya tutuklandığı, yakınlarına derhal bildirilir."
Anayasa değişikliği hangi uluslararası sözleşmeye uygun olarak yapılmıştır?,"Değişiklikler, Avrupa İnsan Hakları Sözleşmesinin 5 inci maddesindeki esaslar doğrultusunda yapılmıştır."
Anayasa Komisyonu değişiklikleri nasıl kabul etmiştir?,Değişiklikler oybirliği ile kabul edilmiştir.
Anayasa değişikliğine ilişkin hangi maddenin süresi değiştirilmiştir?,Anayasa'nın 19. maddesinin beşinci fıkrasındaki 'yedi gün' ibaresi 'dört gün' olarak değiştirilmiştir.
Önerge hangi uluslararası belgeler ışığında verilmiştir?,"Önerge, Avrupa İnsan Hakları Sözleşmesi, Avrupa İnsan Hakları Mahkemesi kararları ve Avrupa İşkenceyi Önleme Komitesi tavsiyeleri ışığında verilmiştir."
Yapılan değişiklik hangi insan hakları ve uluslararası standartlara uygun görülmüştür?,"Yedi günlük sürenin dört güne indirilmesi, insan hakları ve uluslararası standartlara uygun bir düzenleme olarak görülmüştür."
Önerge doğrultusundaki değişiklik hangi maddeyi etkilemiştir?,"Önerge doğrultusundaki değişiklik, Anayasa değişikliğine ilişkin kanun teklifinin 4. maddesini etkilemiştir."
4. madde üzerindeki değişiklik nasıl sonuçlanmıştır?,"4. madde üzerindeki değişiklik, yapılan oylama sonucunda kabul edilmiştir."
Kişi hürriyeti ve güvenliği ile ilgili hangi durumlarda bir kişi hürriyetinden yoksun bırakılabilir?,"Mahkemelerce verilmiş hürriyeti kısıtlayıcı cezalar ve güvenlik tedbirlerinin yerine getirilmesi, bir mahkeme kararının veya kanunda öngörülen bir yükümlülüğün gereği olarak ilgilinin yakalanması veya tutuklanması gibi durumlarda kişi hürriyetinden yoksun bırakılabilir."
Yakalanan veya tutuklanan kişilere haklarındaki iddialar ne zaman bildirilmelidir?,"Yakalanan veya tutuklanan kişilere, haklarındaki iddialar derhal bildirilmelidir; bu mümkün olmadığında sözlü olarak yapılır ve toplu suçlarda en geç hâkim huzuruna çıkarılıncaya kadar bildirilir."
Bir kişi en geç kaç saat içinde hâkim önüne çıkarılmalıdır?,"Yakalanan veya tutuklanan kişi, en geç kırksekiz saat içinde hâkim önüne çıkarılmalıdır. Toplu olarak işlenen suçlarda bu süre en çok dört gündür."
Tutuklanan kişilerin ne tür hakları vardır?,"Tutuklanan kişilerin, makul süre içinde yargılanmayı ve soruşturma veya kovuşturma sırasında serbest bırakılmayı isteme hakları vardır."
Hürriyeti kısıtlanan bir kişi hangi hakkını kullanarak serbest bırakılmayı talep edebilir?,"Hürriyeti kısıtlanan kişi, durumu hakkında karar verilmesini ve kısıtlamanın kanuna aykırılığı halinde hemen serbest bırakılmasını sağlamak amacıyla yetkili bir yargı merciine başvurma hakkını kullanabilir."
Anayasa değişikliği teklifinin amacı nedir?,"Anayasa değişikliği teklifi, önerilen hükümet sistemine uyum sağlamak amacıyla anayasanın farklı maddelerinde bulunan bazı ibarelerin değiştirilmesi, bazı maddelere yeni ibareler eklenmesi ve bazı maddelerdeki ibarelerin metinden çıkarılmasını amaçlamaktadır."
"Anayasa Komisyonu, 19. maddeyi hangi madde olarak kabul etmiştir?","Anayasa Komisyonu, 19. maddeyi teselsül sebebiyle 16. madde olarak kabul etmiştir."
2709 sayılı Kanunun hangi fıkrasındaki 'sıkıyönetim' ibaresi metinden çıkarılmıştır?,2709 sayılı Kanunun 19. maddesinin beşinci fıkrasındaki 'sıkıyönetim' ibaresi metinden çıkarılmıştır.
"Anayasa Komisyonu, hangi fıkraya yapılan atfı düzeltmiştir?","Anayasa Komisyonu, sehven altıncı fıkraya yapılan atfı beşinci fıkra olarak düzeltmiştir."
Tazminat hukukunun genel prensiplerine göre zarar nasıl ödenir?,"Tazminat hukukunun genel prensiplerine göre, esaslar dışında bir işleme tâbi tutulan kişilerin uğradıkları zarar, Devletçe ödenir."
Özel hayatın gizliliği hangi sebeplerle ihlal edilebilir?,"Millî güvenlik, kamu düzeni, suç işlenmesinin önlenmesi, genel sağlık ve genel ahlâkın korunması veya başkalarının hak ve özgürlüklerinin korunması sebeplerinden biri veya birkaçına bağlı olarak ihlal edilebilir."
Kişisel verilerin korunması hakkı neleri kapsar?,"Kişisel verilerin korunması hakkı; kişinin kendisiyle ilgili kişisel veriler hakkında bilgilendirilme, bu verilere erişme, bunların düzeltilmesini veya silinmesini talep etme ve amaçları doğrultusunda kullanılıp kullanılmadığını öğrenmeyi kapsar."
Kişisel veriler hangi durumlarda işlenebilir?,"Kişisel veriler, ancak kanunda öngörülen hallerde veya kişinin açık rızasıyla işlenebilir."
Yetkili merciin kararı ne kadar süre içinde hâkimin onayına sunulmalıdır?,Yetkili merciin kararı yirmidört saat içinde görevli hâkimin onayına sunulmalıdır.
"Hâkim, el koyma kararını ne kadar süre içinde açıklamalıdır?","Hâkim, kararını el koymadan itibaren kırksekiz saat içinde açıklamalıdır; aksi halde, el koyma kendiliğinden kalkar."
Özel hayatın gizliliği hangi maddede düzenlenmiştir?,Özel hayatın gizliliği Anayasa'nın 20. maddesinde düzenlenmiştir.
Özel hayatın gizliliği hangi durumlarda ihlal edilebilir?,"Özel hayatın gizliliği, ancak kanunun açıkça gösterdiği hallerde ve usulüne uygun olarak verilmiş hâkim kararı olmadıkça ihlal edilemez. Gecikmesinde sakınca bulunan hallerde ise kanunla yetkili kılınan merciin emriyle ihlal edilebilir."
Özel hayatın gizliliği neden korunmaktadır?,"Özel hayatın gizliliği, kişinin özel ve aile hayatının başkalarının gözleri önüne serilmesini önlemek ve bu hayatın mahremiyetini korumak amacıyla korunmaktadır."
"Kişinin üstü, özel kâğıtları ve eşyası hangi durumlarda aranabilir?","Kişinin üstü, özel kâğıtları ve eşyası, ancak usulüne göre verilmiş hâkim kararı olmadıkça aranamaz. Gecikmesinde sakınca bulunan hallerde ise kanunla yetkili kılınan merciin emriyle aranabilir."
"Basın hürriyeti, özel hayatın gizliliği kapsamında nasıl sınırlandırılabilir?","Basın hürriyeti, kişinin özel hayatının gazete sayfalarında hikâye edilmesini önlemek amacıyla sınırlandırılabilir."
Özel hayatın gizliliği hangi madde ile korunmaktadır?,MADDE 20 ile korunmaktadır.
Özel hayatın gizliliğine hangi durumlarda dokunulabilir?,Adlî soruşturma ve kovuşturmanın gerektirdiği istisnalar saklıdır.
"Kişinin üstü, özel kâğıtları ve eşyası hangi şartlarda aranabilir?","Kanunun açıkça gösterdiği hallerde, usulüne göre verilmiş hâkim kararı olmadıkça ve gecikmesinde sakınca bulunan hallerde kanunla yetkili kılınan merciin emri olmadıkça aranamaz."
Millî Güvenlik Konseyi Anayasa Komisyonu'nun madde 20 ile ilgili değişiklik gerekçesi nedir?,"Ceza yargılaması usulünde adlî kovuşturmanın yanında soruşturma safhasının da bulunması nedeniyle, 'Adlî kovuşturmanın gerektirdiği istisnalar saklıdır.' hükmü 'Adlî soruşturma ve kovuşturmanın gerektirdiği istisnalar saklıdır.' şeklinde düzenlenmiştir."
Özel hayatın korunması açısından resmî makamların hangi yetkileri sınırlıdır?,"Resmî makamlar, kişinin ferdî ve aile hayatına müdahale edemez."
Anayasanın 20. maddesi hangi hakları koruma altına alır?,"Anayasanın 20. maddesi, özel hayatın ve aile hayatının gizliliğini koruma altına alır."
Özel hayatın gizliliği hangi durumlarda ihlal edilebilir?,"Özel hayatın gizliliği, millî güvenlik, kamu düzeni, suç işlenmesinin önlenmesi, genel sağlık ve genel ahlâkın korunması veya başkalarının hak ve özgürlüklerinin korunması sebeplerinden biri veya birkaçına bağlı olarak usulüne göre verilmiş hâkim kararı veya gecikmesinde sakınca bulunan hallerde kanunla yetkili kılınmış merciin yazılı emri ile ihlal edilebilir."
Yetkili merciin kararı ne kadar süre içinde hâkim onayına sunulmalıdır?,"Yetkili merciin kararı, yirmidört saat içinde görevli hâkimin onayına sunulmalıdır."
Hâkim kararı olmadan yapılan el koyma işlemi ne zaman kendiliğinden kalkar?,"Hâkim kararı olmadan yapılan el koyma işlemi, en geç kırksekiz saat içinde hâkim onayına sunulmazsa kendiliğinden kalkar."
Anayasanın 20. maddesindeki değişiklik neyi amaçlamaktadır?,"Anayasanın 20. maddesindeki değişiklik, özel hayatın gizliliği ile ilgili hak ve hürriyetlerin sınırlarını Avrupa İnsan Hakları Sözleşmesi esasları çerçevesinde açık olarak belirlemeyi amaçlamaktadır."
Anayasanın 20. maddesinde yapılan değişiklikler nelerdir?,"Anayasanın 20. maddesinin birinci fıkrasının üçüncü cümlesi yürürlükten kaldırılmış ve ikinci fıkrası değiştirilmiştir. Değişiklikle, millî güvenlik, kamu düzeni, suç işlenmesinin önlenmesi, genel sağlık ve genel ahlâkın korunması veya başkalarının hak ve özgürlüklerinin korunması sebeplerine bağlı olarak hâkim kararı olmadıkça veya gecikmesinde sakınca bulunan hallerde yetkili merciin yazılı emri olmadıkça kimsenin üstü, özel kâğıtları ve eşyası aranamaz ve bunlara el konulamaz. Yetkili merciin kararı 24 saat içinde hâkimin onayına sunulmalı ve hâkim kararı 48 saat içinde açıklamalıdır; aksi halde el koyma kendiliğinden kalkar."
"Anayasa Komisyonu, 20. maddedeki değişiklikleri nasıl kabul etmiştir?","Anayasa Komisyonu, 20. maddedeki değişiklikleri sürelerdeki değişiklikle birlikte oy birliği ile kabul etmiştir."
20. maddeye göre hangi durumlarda kişilerin eşyalarına el konulamaz?,"20. maddeye göre, millî güvenlik, kamu düzeni, suç işlenmesinin önlenmesi, genel sağlık ve genel ahlâkın korunması veya başkalarının hak ve özgürlüklerinin korunması sebeplerine bağlı hâkim kararı olmadıkça veya gecikmesinde sakınca bulunan hallerde yetkili merciin yazılı emri olmadıkça kişilerin eşyalarına el konulamaz."
Yetkili merciin kararının hâkim onayına sunulma süresi nedir?,"Yetkili merciin kararı, 24 saat içinde hâkimin onayına sunulmalıdır."
"Hâkim, el koyma kararını ne kadar sürede açıklamalıdır?","Hâkim, el koyma kararını 48 saat içinde açıklamalıdır; aksi halde el koyma kendiliğinden kalkar."
Özel hayatın gizliliği Anayasa'nın hangi maddesinde düzenlenmiştir?,Özel hayatın gizliliği Anayasa'nın 20. maddesinde düzenlenmiştir.
"Hangi durumlarda bir kişinin üstü, özel kâğıtları ve eşyası aranabilir?","Millî güvenlik, kamu düzeni, suç işlenmesinin önlenmesi, genel sağlık ve genel ahlâkın korunması veya başkalarının hak ve özgürlüklerinin korunması sebeplerinden biri veya birkaçına bağlı olarak, usulüne göre verilmiş hâkim kararı olmadıkça; gecikmesinde sakınca bulunan hallerde de kanunla yetkili kılınmış merciin yazılı emri bulunmadıkça aranamaz."
Kişisel verilerin korunması hakkı Anayasa'nın hangi maddesinde belirtilmiştir?,Kişisel verilerin korunması hakkı Anayasa'nın 20. maddesinde belirtilmiştir.
Kişisel veriler hangi durumlarda işlenebilir?,"Kişisel veriler, ancak kanunda öngörülen hallerde veya kişinin açık rızasıyla işlenebilir."
Yetkili merciin kararı kaç saat içinde hâkimin onayına sunulmalıdır?,Yetkili merciin kararı yirmidört saat içinde görevli hâkimin onayına sunulmalıdır.
Anayasada kişisel verilerin korunmasına yönelik hangi düzenleme yapılmıştır?,"Anayasada kişisel verilerin korunmasına yönelik olarak, herkesin kendisiyle ilgili kişisel verilerin korunmasını isteme hakkı anayasal bir hak olarak teminat altına alınmıştır."
Kişisel verilerin korunmasına ilişkin esas ve usuller nasıl düzenlenecektir?,Kişisel verilerin korunmasına ilişkin esas ve usuller kanunla düzenlenecektir.
Kişisel veriler hangi durumlarda işlenebilir?,"Kişisel veriler, ancak kanunda öngörülen hallerde veya kişinin açık rızasıyla işlenebilir."
Anayasa Komisyonu hangi değişikliği kabul etmiştir?,"Anayasa Komisyonu, Anayasanın 20 nci maddesine kişisel verilerin korunmasını öngören bir fıkra eklenmesini kabul etmiştir."
Kişisel verilerle ilgili hangi haklar tanınmaktadır?,"Kişisel verilerle ilgili olarak bilgilendirilme, verilere erişme, bunların düzeltilmesini veya silinmesini talep etme ve amaçları doğrultusunda kullanılıp kullanılmadığını öğrenme hakları tanınmaktadır."
Türkiye Cumhuriyeti Anayasası'nın numarası nedir?,121
Konut dokunulmazlığı hangi durumlarda ihlal edilebilir?,"Millî güvenlik, kamu düzeni, suç işlenmesinin önlenmesi, genel sağlık ve genel ahlâkın korunması veya başkalarının hak ve özgürlüklerinin korunması sebeplerinden biri veya birkaçına bağlı olarak usulüne göre verilmiş hâkim kararı olmadıkça ihlal edilemez."
Gecikmesinde sakınca bulunan hallerde konut dokunulmazlığı nasıl ihlal edilir?,Kanunla yetkili kılınmış merciin yazılı emri bulunmadıkça konut dokunulmazlığı ihlal edilemez.
Yetkili merciin kararı kaç saat içinde hâkim onayına sunulmalıdır?,Yirmidört saat içinde görevli hâkimin onayına sunulmalıdır.
Hâkim kararını kaç saat içinde açıklamalıdır?,Kırksekiz saat içinde açıklamalıdır.
Hâkim kararı açıklamazsa ne olur?,El koyma kendiliğinden kalkar.
Konut dokunulmazlığı hangi madde ile korunmaktadır?,"Konut dokunulmazlığı, Türkiye Cumhuriyeti Anayasası'nın 21. maddesi ile korunmaktadır."
Konut dokunulmazlığının istisnai olarak kaldırılabilmesi için hangi şartlar gereklidir?,Konut dokunulmazlığının kaldırılması hâkim kararı ile mümkündür; ancak gecikmesinde sakınca bulunan hallerde kanunla yetkili kılınan merciin emri ile de kaldırılabilir.
Danışma Meclisi ve Millî Güvenlik Konseyi Anayasa Komisyonu hangi maddeyi aynen kabul etmiştir?,Her iki meclis de Türkiye Cumhuriyeti Anayasası'nın 21. maddesini aynen kabul etmiştir.
Konut dokunulmazlığının özel hayatın korunmasıyla ilişkisi nedir?,"Konut dokunulmazlığı, özel hayatın korunmasına ilişkin bir unsurdur ve konut, özel hayatın önemli bir parçasını teşkil eder."
Konut dokunulmazlığına hangi durumlarda müdahale edilebilir?,Konut dokunulmazlığına ancak hâkim kararıyla veya gecikmesinde sakınca bulunan hallerde kanunla yetkili kılınan merciin emriyle müdahale edilebilir.
Konut dokunulmazlığı hangi durumlarda sınırlanabilir?,"Millî güvenlik, kamu düzeni, suç işlenmesinin önlenmesi, genel sağlık ve genel ahlâkın korunması veya başkalarının hak ve özgürlüklerinin korunması sebeplerinden biri veya birkaçına bağlı olarak sınırlanabilir."
Konut dokunulmazlığının ihlali için hangi türden bir karar gereklidir?,Usulüne göre verilmiş hâkim kararı veya kanunla yetkili kılınmış merciin yazılı emri gereklidir.
Yetkili merciin kararı ne kadar süre içinde hâkim onayına sunulmalıdır?,Yetkili merciin kararı yirmidört saat içinde hâkim onayına sunulmalıdır.
"Hâkim, el koyma kararını ne kadar süre içinde açıklamalıdır?","Hâkim, el koyma kararını kırksekiz saat içinde açıklamalıdır."
Konut dokunulmazlığının düzenlenmesinde hangi uluslararası sözleşme dikkate alınmıştır?,Avrupa İnsan Hakları Sözleşmesi dikkate alınmıştır.
Anayasanın hangi maddesi konut dokunulmazlığı ile ilgili özel sınırlar belirlemektedir?,Anayasanın 21. maddesi konut dokunulmazlığı ile ilgili özel sınırlar belirlemektedir.
Konut dokunulmazlığının ihlal edilebilmesi için hangi şartlar gereklidir?,"Millî güvenlik, kamu düzeni, suç işlenmesinin önlenmesi, genel sağlık ve genel ahlâkın korunması veya başkalarının hak ve özgürlüklerinin korunması sebeplerinden biri veya birkaçına bağlı olarak usulüne göre verilmiş hâkim kararı veya gecikmesinde sakınca bulunan hallerde kanunla yetkili kılınmış merciin yazılı emri gereklidir."
Yetkili merciin kararı ne kadar süre içinde hâkimin onayına sunulmalıdır?,Yetkili merciin kararı yirmidört saat içinde görevli hâkimin onayına sunulmalıdır.
"Hâkim, el koyma kararını ne kadar süre içinde açıklamak zorundadır?","Hâkim, el koyma kararını kırksekiz saat içinde açıklamak zorundadır."
Hâkim kararı açıklamazsa el koyma durumu ne olur?,"Hâkim kararı açıklamazsa, el koyma kendiliğinden kalkar."
Haberleşme hürriyeti nedir?,Herkesin haberleşme hürriyetine sahip olması ve haberleşmenin gizliliğinin esas olmasıdır.
Haberleşmenin engellenmesi için hangi şartlar gereklidir?,"Millî güvenlik, kamu düzeni, suç işlenmesinin önlenmesi, genel sağlık ve genel ahlâkın korunması veya başkalarının hak ve özgürlüklerinin korunması gibi sebeplerle usulüne uygun verilmiş hâkim kararı veya gecikmesinde sakınca bulunan hallerde yetkili merciin yazılı emri gereklidir."
Yetkili merciin kararı ne zaman hâkimin onayına sunulur?,Yetkili merciin kararı yirmidört saat içinde görevli hâkimin onayına sunulur.
Hâkim kararını ne kadar sürede açıklamalıdır?,"Hâkim, kararını kırksekiz saat içinde açıklamalıdır."
Haberleşme hürriyetinin istisnaları hangi kurumlar için geçerlidir?,İstisnaların uygulanacağı kamu kurum ve kuruluşları kanunda belirtilir.
Haberleşme hürriyeti nedir?,"Haberleşme hürriyeti, herkesin serbestçe haberleşebilme hakkına sahip olmasıdır ve bu haberleşmenin gizliliği esastır."
Haberleşmenin gizliliği hangi durumlarda kaldırılabilir?,"Haberleşmenin gizliliği, kanunun açıkça gösterdiği hallerde usulüne göre verilmiş hâkim kararı olmadıkça ve gecikmesinde sakınca bulunan hallerde kanunla yetkili kılınan merciin emri olmadıkça kaldırılamaz."
Haberleşme hürriyetinin korunması neden önemlidir?,"Haberleşme hürriyeti, özel hayatın bir unsuru olduğundan, gizliliğinin korunması önemlidir."
Hangi kurumlar haberleşme gizliliğine istisna getirebilir?,Haberleşme gizliliğine istisna getirebilecek kamu kurum ve kuruluşları kanunda belirtilir.
Acele hallerde haberleşmenin gizliliği nasıl kaldırılabilir?,"Acele hallerde, kanunun açıkça yetkili kıldığı başka bir merci, istinaen, haberleşmenin gizliliğini kaldırma emri verebilir."
Herkesin sahip olduğu hürriyet nedir?,"Herkes, haberleşme hürriyetine sahiptir."
Haberleşmenin gizliliği ne zaman ihlal edilebilir?,"Kanunun açıkça gösterdiği hallerde, usulüne göre verilmiş hâkim kararı olmadıkça veya gecikmesinde sakınca bulunan hallerde kanunla yetkili kılınan merciin emri olmadıkça ihlal edilemez."
Haberleşme hürriyetinin kısıtlanabileceği durumlar nasıl belirlenir?,İstisnaların uygulanacağı kamu kurum ve kuruluşları kanunda belirtilir.
Madde 22'ye eklenen fıkra neyi öngörmektedir?,Haberleşme hürriyetinin ve gizliliğinin istisnaî olarak kısıtlanabileceği kamu kurum ve kuruluşlarının kanunla belirtileceğini öngörmektedir.
Haberleşme engellenebilir mi?,Kanunun açıkça gösterdiği haller dışında ve usulüne uygun hâkim kararı olmadan veya gecikmesinde sakınca bulunan hallerde yetkili merciin emri olmadan haberleşme engellenemez.
Haberleşme hürriyeti hangi sebeplerle sınırlanabilir?,"Millî güvenlik, kamu düzeni, suç işlenmesinin önlenmesi, genel sağlık ve genel ahlâkın korunması veya başkalarının hak ve özgürlüklerinin korunması sebeplerinden biri veya birkaçına bağlı olarak sınırlanabilir."
Haberleşmenin gizliliği ne zaman ihlal edilebilir?,"Haberleşmenin gizliliği, usulüne göre verilmiş hâkim kararı olmadıkça veya gecikmesinde sakınca bulunan hallerde kanunla yetkili kılınmış merciin yazılı emri olmadıkça ihlal edilemez."
Yetkili merciin kararı ne kadar süre içinde hâkimin onayına sunulmalıdır?,Yetkili merciin kararı yirmidört saat içinde görevli hâkimin onayına sunulmalıdır.
İletişim hürriyeti hangi unsurları kapsar?,"İletişim hürriyeti, iletişim, haberleşme ve gönderişmeyi (telefon, telgraf, internet vs..) kapsayan bir ifade olarak düzenlenmiştir."
İletişim hürriyeti hangi kanunla yeniden düzenlenmiştir?,"İletişim hürriyeti, Türkiye Cumhuriyeti Anayasasının 22 nci maddesi kenar başlığı ile birlikte yeniden düzenlenmiştir."
Haberleşme hürriyetinin gizliliği hangi durumlarda ihlal edilebilir?,"Millî güvenlik, kamu düzeni, suç işlenmesinin önlenmesi, genel sağlık ve genel ahlâkın korunması veya başkalarının hak ve özgürlüklerinin korunması sebeplerinden biri veya birkaçına bağlı olarak usulüne göre verilmiş hâkim kararı olmadıkça, haberleşme engellenemez ve gizliliğine dokunulamaz."
Yetkili merciin yazılı emri ne zaman hâkim onayına sunulmalıdır?,Yetkili merciin kararı yirmidört saat içinde görevli hâkimin onayına sunulur.
"Hâkim, yetkili merciin kararını ne kadar sürede açıklamalıdır?","Hâkim kararını kırksekiz saat içinde açıklar; aksi halde, karar kendiliğinden kalkar."
"Anayasa Komisyonu, haberleşme yerine hangi kelimenin kullanılmasını teklif etmiştir?",Teklifte haberleşme yerine iletişim kullanılmıştır.
"Anayasa Komisyonu, haberleşme hürriyetini düzenleyen maddeyi hangi kararla kabul etmiştir?","Komisyon, yetkili merciin kararının hâkim onayına sunulması ile ilgili sözlü öneriyle birlikte maddeyi oy birliği ile kabul etmiştir."
